
1 明石信道　
入学	tfidf:0.00440738637566
昭和6年	tfidf:0.00436507233097
世	tfidf:0.00436507233097
先	tfidf:0.00436507233097
娘	tfidf:0.00436507233097
昭和4年	tfidf:0.00428918323532
作家	tfidf:0.00428918323532
母	tfidf:0.00416854982094
移住	tfidf:0.00414723971657
昭和7年	tfidf:0.00414723971657
中学校	tfidf:0.00408064592453
北海道庁	tfidf:0.00389577041832
フランス	tfidf:0.00389577041832
長女	tfidf:0.0038385251984
ほか	tfidf:0.00372973013397
自宅	tfidf:0.00367793780393
横浜	tfidf:0.00357903956279
紹介	tfidf:0.00357903956279
2月	tfidf:0.00357903956279
入社	tfidf:0.00339759480731
教授	tfidf:0.00335522044124
ここ	tfidf:0.00323432652255
養子	tfidf:0.00319594071927
たち	tfidf:0.0031584374269
8年	tfidf:0.0031584374269
10月	tfidf:0.00301649390816
尽力	tfidf:0.00301649390816
11月	tfidf:0.00301649390816
結婚	tfidf:0.0029828572243
区	tfidf:0.00291759566702
3年	tfidf:0.00288591852859
界	tfidf:0.00288591852859
日	tfidf:0.00285484480107
東京	tfidf:0.00283289237419
経営	tfidf:0.00267989287553
5月	tfidf:0.00259898432555
活躍	tfidf:0.00249699353113
3月	tfidf:0.00244829375437
業	tfidf:0.002401005766
地	tfidf:0.002142891565
名	tfidf:0.00190283015499
長男	tfidf:0.00186884306379
卒業	tfidf:0.0018191543077
日本	tfidf:0.00173956187023
享年	tfidf:0.00169360611661
翌年	tfidf:0.00152172925583
